,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
0,Mercedes-Benz S-Class,2017-07-01,Comprehensive,Petrol,5,56000,First Owner,Automatic,7.81,2996.0,333.0,63.75
1,Nissan Magnite Turbo CVT XV Premium Opt,2020-01-01,Comprehensive,Petrol,5,30615,First Owner,Automatic,17.4,999.0,9863.0,8.99
2,BMW X1 sDrive 20d,2018-09-01,Comprehensive,Diesel,5,24000,First Owner,Automatic,20.68,1995.0,188.0,23.75
3,Kia Seltos GTX,2019-12-01,Comprehensive,Petrol,5,18378,First Owner,Manual,16.5,1353.0,13808.0,13.56
4,Skoda Superb LK 1.8 TSI,2019-08-01,Comprehensive,Petrol,5,44900,First Owner,Automatic,14.67,1798.0,17746.0,24.0
5,Honda Jazz 1.2 S i,2017-07-01,Third Party insurance,Petrol,5,42000,First Owner,Manual,18.7,1199.0,887.0,5.45
6,Hyundai Grand i10 1.2 Kappa Sportz,2018-02-01,Comprehensive,Petrol,5,36739,First Owner,Manual,18.9,1197.0,8186.0,5.12
7,Hyundai Creta 1.6,2018-07-01,Comprehensive,Petrol,5,76000,First Owner,Manual,15.8,1591.0,1213.0,9.3
8,Mercedes-Benz S-Class S 350,2015-04-01,Comprehensive,Diesel,5,68000,Second Owner,Automatic,13.5,2987.0,25479.0,42.0
9,Tata Nexon 1.2 Revotron XZ,2019-03-01,Comprehensive,Petrol,5,28783,First Owner,Manual,17.0,1198.0,1085.0,8.02
10,Honda City VX,2020-03-01,Comprehensive,Petrol,5,40000,First Owner,Automatic,17.4,1497.0,1176.0,10.95
11,Renault Duster,2021-02-01,Comprehensive,Petrol,5,17382,First Owner,Manual,16.42,1498.0,10455.0,8.99
12,Hyundai Venue SX Plus Turbo,2021-01-01,Comprehensive,Petrol,5,17000,First Owner,Automatic,18.15,998.0,11835.0,10.95
13,Hyundai Grand i10 1.2 Kappa Sportz,2019-04-01,Comprehensive,Petrol,5,26867,First Owner,Manual,18.9,1197.0,8186.0,5.78
14,Hyundai i20 Asta,2022-08-01,Third Party insurance,Petrol,5,30000,First Owner,Manual,21.0,1197.0,8180.0,8.95
15,BMW 3 Series 320d Luxury,2018-03-01,Comprehensive,Diesel,5,53000,First Owner,Automatic,22.69,1995.0,190.0,23.5
16,Ford Ecosport 1.5 Petrol Titanium Plus,2019-11-01,Comprehensive,Petrol,5,40000,First Owner,Manual,17.0,1497.0,12136.0,7.95
17,Jeep Compass 1.4 Limited,2020-11-01,Comprehensive,Petrol,5,48000,First Owner,Automatic,14.1,1368.0,16077.0,18.95
18,MG Gloster Savvy,2021-09-01,Comprehensive,Diesel,6,35000,First Owner,Automatic,12.4,1996.0,21501.0,35.0
19,Maruti Swift 1.2 VXi,2010-10-01,Comprehensive,Petrol,5,100525,First Owner,Manual,16.1,1197.0,85.0,2.09
20,Honda City i VTEC CVT,2015-09-01,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,18.0,1497.0,1173.0,6.25
21,Maruti Wagon R LXI,2011-08-01,Comprehensive,Petrol,5,40191,Second Owner,Manual,998.0,671.0,90.0,2.12
22,Audi A6 35,2015-12-01,Comprehensive,Diesel,5,62152,First Owner,Automatic,18.53,1968.0,18774.0,20.0
23,Hyundai Creta 1.6 VTVT,2017-08-01,Third Party insurance,Petrol,5,49000,First Owner,Manual,15.29,1591.0,1213.0,8.35
24,Maruti Baleno 1.2,2017-08-01,Comprehensive,Petrol,5,56215,First Owner,Manual,21.4,1197.0,831.0,5.03
25,Toyota Yaris,2018-09-01,Comprehensive,Petrol,5,53000,First Owner,Manual,17.1,1496.0,10594.0,6.95
26,Toyota Fortuner 4x2,2015-09-01,Comprehensive,Diesel,7,100000,First Owner,Automatic,12.55,2982.0,1685.0,16.0
27,Hyundai Creta SX Turbo,2020-08-01,Comprehensive,Petrol,5,36346,First Owner,Automatic,16.8,1353.0,13808.0,15.22
28,Jaguar XE 2.0L Diesel,2018-07-01,Comprehensive,Diesel,5,48000,First Owner,Automatic,13.5,1999.0,177.0,26.95
29,Hyundai i20 Sportz Plus,2019-11-01,Comprehensive,Petrol,5,42098,First Owner,Manual,18.6,1197.0,8186.0,6.7
30,BMW X1 sDrive 20d,2019-10-01,Comprehensive,Diesel,5,64000,First Owner,Automatic,20.68,1995.0,188.0,25.5
31,Maruti Swift ZXI Plus DT AMT,2022-12-01,Comprehensive,Petrol,5,13158,First Owner,Automatic,22.56,1197.0,8850.0,8.38
32,Hyundai Creta 1.6 SX Automatic,2018-06-01,Third Party insurance,Diesel,5,65400,First Owner,Automatic,17.6,1582.0,1262.0,10.9
33,Tata Tiago XZ Plus CNG,2022-08-01,Comprehensive,CNG,5,30000,First Owner,Manual,26.49,1199.0,72.0,7.25
34,Honda Jazz 1.5 E i,2017-06-01,Comprehensive,Diesel,5,62000,First Owner,Manual,1498.0,986.0,200.0,4.75
35,Volkswagen Beetle,2010-05-01,Comprehensive,Petrol,4,40000,First Owner,Automatic,10.98,1984.0,1144.0,11.95
36,MG Gloster Savvy,2021-09-01,Comprehensive,Diesel,6,35000,First Owner,Automatic,12.4,1996.0,21501.0,35.0
37,Maruti Swift 1.2 VXi,2010-10-01,Comprehensive,Petrol,5,100525,First Owner,Manual,16.1,1197.0,85.0,2.09
38,Honda City i VTEC CVT,2015-09-01,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,18.0,1497.0,1173.0,6.25
39,Maruti Wagon R LXI,2011-08-01,Comprehensive,Petrol,5,40191,Second Owner,Manual,998.0,671.0,90.0,2.12
40,Audi A6 35,2015-12-01,Comprehensive,Diesel,5,62152,First Owner,Automatic,18.53,1968.0,18774.0,20.0
41,Hyundai Creta 1.6 VTVT,2017-08-01,Third Party insurance,Petrol,5,49000,First Owner,Manual,15.29,1591.0,1213.0,8.35
42,Maruti Baleno 1.2,2017-08-01,Comprehensive,Petrol,5,56215,First Owner,Manual,21.4,1197.0,831.0,5.03
43,Toyota Yaris,2018-09-01,Comprehensive,Petrol,5,53000,First Owner,Manual,17.1,1496.0,10594.0,6.95
44,Toyota Fortuner 4x2,2015-09-01,Comprehensive,Diesel,7,100000,First Owner,Automatic,12.55,2982.0,1685.0,16.0
45,Hyundai Creta SX Turbo,2020-08-01,Comprehensive,Petrol,5,36346,First Owner,Automatic,16.8,1353.0,13808.0,15.22
46,Jaguar XE 2.0L Diesel,2018-07-01,Comprehensive,Diesel,5,48000,First Owner,Automatic,13.5,1999.0,177.0,26.95
47,Hyundai i20 Sportz Plus,2019-11-01,Comprehensive,Petrol,5,42098,First Owner,Manual,18.6,1197.0,8186.0,6.7
48,BMW X1 sDrive 20d,2019-10-01,Comprehensive,Diesel,5,64000,First Owner,Automatic,20.68,1995.0,188.0,25.5
49,Maruti Swift ZXI Plus DT AMT,2022-12-01,Comprehensive,Petrol,5,13158,First Owner,Automatic,22.56,1197.0,8850.0,8.38
50,Hyundai Creta 1.6 SX Automatic,2018-06-01,Third Party insurance,Diesel,5,65400,First Owner,Automatic,17.6,1582.0,1262.0,10.9
51,Tata Tiago XZ Plus CNG,2022-08-01,Comprehensive,CNG,5,30000,First Owner,Manual,26.49,1199.0,72.0,7.25
52,Honda Jazz 1.5 E i,2017-06-01,Comprehensive,Diesel,5,62000,First Owner,Manual,1498.0,986.0,200.0,4.75
